
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-03-20


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.7
Magnitude Max:, 7.5
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, 0.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 0.0
Vs30 Max (m/sec):, 225.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 2
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, SS+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
0.7,0.484104,0.3502738,0.114,0.1335448,0.3535536,0.0821,0.4857588,0.5343447,0.101,0.1716412,0.2981696,0.0589,0.5313907,0.291111,0.0482,0.6687757,0.393619,0.103,0.5423604,0.5669926,0.22,0.6637859,0.609823,0.461,0.789811,1.311269,0.217,0.7315699,0.6474327,0.131,0.4230004,0.3154554,0.109,0.5515789,0.6052905,0.49,0.6642017,0.6533847,0.115,1.258401,0.8000827,0.398,0.8411796,1.249391,0.129,0.6240999,0.9659178,0.648,1.050835,1.475917,0.318,0.4485719,0.7005759,0.2
0.75,0.4147597,0.3793727,0.107,0.1548868,0.328919,0.0777,0.3730754,0.5304788,0.132,0.152372,0.2906906,0.0658,0.4925015,0.2113423,0.0567,0.6353588,0.4245513,0.102,0.526433,0.541759,0.201,0.7727605,0.5986837,0.44,0.7647039,1.371695,0.191,0.7136346,0.6037514,0.117,0.3725099,0.3263217,0.131,0.5982304,0.6316904,0.473,0.6270607,0.6880999,0.0956,1.214824,0.6933261,0.353,0.7354811,1.291114,0.147,0.6073312,0.8488174,0.547,0.9237155,1.371739,0.318,0.4312932,0.4626116,0.254
0.8,0.3931922,0.4067456,0.104,0.1794963,0.3084785,0.0691,0.4092817,0.4776608,0.141,0.1767308,0.2679977,0.0778,0.444895,0.1679937,0.0571,0.7417343,0.4357713,0.102,0.5055294,0.5029618,0.194,0.8216906,0.5905697,0.42,0.7018956,1.316239,0.21,0.6077832,0.6012836,0.117,0.380163,0.2751797,0.117,0.6304988,0.6438483,0.474,0.5342329,0.7466549,0.104,1.156915,0.6013846,0.318,0.6623837,1.284837,0.16,0.5621877,0.6603854,0.546,1.003022,1.077245,0.243,0.488819,0.4801585,0.256
0.85,0.391131,0.426488,0.1,0.1954188,0.2934576,0.0713,0.433949,0.3804049,0.139,0.1903074,0.2220141,0.0902,0.4218037,0.1702823,0.046,0.7780797,0.4347531,0.0961,0.5847679,0.6062306,0.185,0.7681633,0.5646363,0.398,0.6919993,1.185434,0.238,0.4489712,0.58217,0.151,0.375265,0.2294374,0.0816,0.6931309,0.685576,0.477,0.4505527,0.7731633,0.0966,1.083834,0.5441753,0.275,0.6872964,1.266763,0.162,0.5303943,0.5873907,0.538,1.098747,1.123746,0.219,0.6513147,0.5224093,0.26
0.9,0.353398,0.425226,0.099,0.205166,0.2946688,0.0828,0.4368392,0.3853506,0.136,0.1964208,0.2224584,0.101,0.3777542,0.1673532,0.0441,0.7438273,0.428439,0.0828,0.5592869,0.6649918,0.173,0.7337211,0.5193285,0.375,0.6686128,1.013327,0.263,0.3273391,0.5535073,0.171,0.3563936,0.210851,0.0652,0.8240815,0.7799536,0.438,0.41494,0.7521145,0.0761,0.9927637,0.5036637,0.228,0.6191427,1.232994,0.156,0.5130782,0.5527638,0.501,1.21273,1.313512,0.219,0.7434645,0.5945172,0.26
0.95,0.3640021,0.4110632,0.0963,0.2102354,0.2949106,0.088,0.4321355,0.3788811,0.139,0.1984998,0.2486557,0.106,0.3249151,0.1482346,0.0458,0.6732746,0.4228038,0.0783,0.4812339,0.6880491,0.158,0.6816659,0.4682098,0.379,0.6600426,0.826257,0.281,0.2844683,0.523008,0.167,0.3533923,0.2314846,0.0479,0.9138226,0.8510042,0.407,0.3857794,0.7843006,0.0612,0.8874412,0.4669953,0.183,0.6474392,1.184569,0.131,0.5118626,0.5325293,0.418,1.188203,1.538949,0.234,0.8127567,0.6413687,0.221
1.0,0.3302524,0.3874427,0.091,0.2128383,0.2904563,0.0968,0.4235025,0.3611604,0.124,0.1993693,0.3054233,0.0978,0.2724838,0.1312305,0.0505,0.5420119,0.4952596,0.0978,0.4139041,0.6813325,0.152,0.6078199,0.4354872,0.378,0.6589147,0.6690553,0.293,0.2483882,0.495584,0.146,0.3430015,0.2629467,0.056,0.9688191,0.893625,0.348,0.4179426,0.8679699,0.0565,0.779541,0.4297186,0.186,0.659637,1.120693,0.107,0.5208246,0.5264251,0.301,1.16791,1.651992,0.209,0.7563967,0.607292,0.148
1.1,0.2048531,0.3323341,0.0807,0.2099571,0.270902,0.106,0.4076674,0.3115306,0.087,0.197944,0.3801751,0.0658,0.2796659,0.1405514,0.0581,0.4654673,0.5351136,0.11,0.362801,0.5964181,0.168,0.4470572,0.4319716,0.383,0.6050408,0.6104803,0.295,0.2509421,0.5024855,0.122,0.3586377,0.2936479,0.0656,1.010004,0.901629,0.436,0.4333567,0.9988111,0.0693,0.5985042,0.5019641,0.168,0.6345798,0.9602789,0.128,0.5590366,0.5268598,0.271,0.8659446,1.519613,0.186,0.5904305,0.6439192,0.119
1.2,0.1627122,0.2824401,0.0853,0.2020518,0.2491181,0.0928,0.4411418,0.3487283,0.0816,0.2002593,0.4356866,0.0667,0.2909603,0.1652936,0.0529,0.4151321,0.4860477,0.0956,0.3783302,0.4590513,0.18,0.4006054,0.3892636,0.395,0.5216473,0.5523289,0.275,0.2634308,0.5528193,0.149,0.313294,0.2940847,0.0601,0.993657,0.8254159,0.488,0.4232197,0.9822071,0.066,0.5129811,0.4581325,0.151,0.5519446,0.7952965,0.12,0.6993483,0.6443511,0.241,0.6280658,1.279014,0.115,0.453739,0.5570264,0.128
1.3,0.1281376,0.2350983,0.0788,0.1935185,0.231959,0.0689,0.5096361,0.4523168,0.104,0.194912,0.4626598,0.064,0.2906232,0.1700023,0.0386,0.3663014,0.4120772,0.0833,0.3332801,0.3294511,0.184,0.4175107,0.3927861,0.39,0.4459496,0.4980084,0.26,0.2410206,0.6243914,0.157,0.2376006,0.2880428,0.0572,0.9945568,0.707428,0.463,0.4408452,0.8818628,0.0688,0.4424312,0.3199038,0.135,0.5382887,0.6464288,0.128,0.8353476,0.756101,0.188,0.7566518,1.090647,0.109,0.3980602,0.5881627,0.12
1.4,0.1045919,0.2071636,0.0921,0.1869107,0.2229168,0.0702,0.4664795,0.475981,0.126,0.1865261,0.4610049,0.0724,0.2793549,0.1514437,0.0328,0.3231683,0.3558543,0.0964,0.2806851,0.3123937,0.184,0.3713859,0.4048896,0.369,0.3975773,0.4927203,0.264,0.2116825,0.5920293,0.17,0.2000579,0.2800662,0.051,0.9486259,0.5929767,0.496,0.4370546,0.7710403,0.0814,0.3834027,0.2554237,0.108,0.5213693,0.520786,0.138,0.8717562,0.7967076,0.162,0.6620007,0.9863491,0.124,0.3271821,0.5113627,0.124
1.5,0.1032695,0.1821429,0.0781,0.1857146,0.2153297,0.0648,0.3388465,0.4168832,0.135,0.1840712,0.4317589,0.0713,0.2660037,0.1223564,0.0317,0.2911408,0.3489213,0.114,0.252711,0.3047183,0.184,0.3059663,0.417865,0.344,0.3514512,0.4582173,0.275,0.2110628,0.4847767,0.164,0.1750162,0.2623999,0.0405,0.8573754,0.4850429,0.461,0.3968487,0.6576077,0.0831,0.3331294,0.226358,0.0828,0.3450206,0.4433845,0.139,0.8554015,0.7717966,0.163,0.5843362,0.9359286,0.122,0.3548533,0.4235068,0.102
1.6,0.1049119,0.1591246,0.0749,0.1851576,0.2023113,0.0652,0.2751266,0.341393,0.131,0.1938635,0.3917821,0.0654,0.2538611,0.09468094,0.0318,0.3276261,0.3471301,0.123,0.2594518,0.305517,0.18,0.2647966,0.4277057,0.311,0.2998628,0.4398635,0.278,0.2097349,0.432453,0.143,0.1583079,0.2369796,0.0345,0.7591327,0.3944208,0.458,0.2920259,0.5366929,0.0699,0.290318,0.1971771,0.0705,0.2877786,0.3883941,0.134,0.7999501,0.7086132,0.169,0.5184438,0.8446408,0.108,0.3252439,0.349457,0.0906
1.7,0.1028317,0.1377036,0.061,0.1823208,0.1828565,0.061,0.2316981,0.2509839,0.126,0.2040978,0.3491447,0.0573,0.2354777,0.0812699,0.0312,0.3271877,0.3463738,0.125,0.2545911,0.313258,0.175,0.2730709,0.4359243,0.277,0.2613334,0.4581904,0.264,0.2188639,0.3453473,0.116,0.146356,0.2236986,0.0419,0.7138324,0.3240007,0.52,0.23333,0.4320876,0.0563,0.2541621,0.1726253,0.0628,0.3174904,0.3392976,0.114,0.7219938,0.6273724,0.188,0.4530692,0.7224783,0.0859,0.3217761,0.3113419,0.0877
1.8,0.09832195,0.1175363,0.0728,0.1785005,0.1627124,0.0558,0.2128248,0.2255332,0.121,0.2125947,0.3174395,0.0537,0.2533179,0.07930731,0.0337,0.3132804,0.3444819,0.118,0.2495594,0.324214,0.167,0.3122971,0.4407729,0.252,0.2380424,0.465378,0.24,0.2417632,0.2818588,0.0975,0.137193,0.2059684,0.0588,0.7688204,0.3194312,0.582,0.2058075,0.3424982,0.05,0.2236225,0.1748718,0.0529,0.3145628,0.2964332,0.0863,0.6395274,0.5441465,0.201,0.3980531,0.603543,0.0902,0.3183014,0.2529227,0.0819
1.9,0.08592667,0.09889315,0.0835,0.1753474,0.1434432,0.0517,0.1961504,0.2261587,0.113,0.2190192,0.2918955,0.0508,0.2731999,0.08195462,0.0314,0.3117754,0.3415346,0.105,0.2443749,0.3343596,0.159,0.355064,0.4405335,0.234,0.2128793,0.4649885,0.21,0.2584333,0.2458335,0.0986,0.1293275,0.1845078,0.0583,0.7532013,0.3139016,0.603,0.1814572,0.2887848,0.0443,0.1977161,0.1638632,0.0417,0.2243602,0.259612,0.0667,0.5522681,0.4659341,0.212,0.3715526,0.521585,0.097,0.2966222,0.2148285,0.0751
2.0,0.07011987,0.08231024,0.0889,0.1732468,0.1281986,0.0503,0.1825011,0.2327877,0.104,0.2218981,0.2673694,0.0471,0.2763096,0.07980648,0.0304,0.291377,0.3381558,0.0893,0.2394089,0.3417463,0.151,0.3891694,0.4360077,0.223,0.2139433,0.4588408,0.185,0.2668582,0.2111292,0.0976,0.1404924,0.1640331,0.0524,0.6850275,0.2906132,0.581,0.1603128,0.2570301,0.0392,0.1754652,0.1467308,0.0382,0.1941028,0.228218,0.0755,0.4683436,0.398774,0.23,0.3329618,0.4358007,0.106,0.2650535,0.217516,0.0945
2.2,0.04453851,0.0670396,0.0835,0.1701303,0.1043287,0.0543,0.1880219,0.247096,0.0875,0.2176148,0.2226961,0.0383,0.275384,0.09249344,0.0289,0.2326815,0.329924,0.077,0.2978512,0.418546,0.134,0.4185787,0.4204129,0.199,0.2403286,0.4379744,0.136,0.2801321,0.1760068,0.0787,0.1582216,0.1585184,0.0458,0.5190954,0.2189965,0.47,0.1241217,0.219973,0.0319,0.139011,0.09761298,0.0332,0.1698024,0.1785337,0.0651,0.335548,0.3038576,0.217,0.2433459,0.3145,0.0835,0.2025205,0.1765509,0.104
2.4,0.03536796,0.0541569,0.0733,0.1672494,0.1067698,0.0447,0.1427279,0.2528785,0.0681,0.2066258,0.1853764,0.0537,0.2437402,0.1020414,0.0281,0.1977654,0.3168182,0.0723,0.293693,0.4573077,0.12,0.4021749,0.4322157,0.176,0.2436141,0.4148951,0.0928,0.2744745,0.1480242,0.0575,0.1717211,0.1654355,0.0332,0.4014017,0.1988932,0.374,0.09498177,0.1849388,0.0281,0.1103006,0.08231659,0.027,0.1346036,0.1416639,0.057,0.2655945,0.2533157,0.216,0.2022453,0.2828906,0.0764,0.1492276,0.1459842,0.0697
2.5,0.03120367,0.0486608,0.0663,0.1690179,0.08660828,0.0426,0.1353094,0.2515582,0.0597,0.204921,0.172094,0.0626,0.2258704,0.1071926,0.0295,0.1796725,0.3146629,0.0693,0.2879346,0.4636996,0.114,0.3842691,0.4528337,0.163,0.2404891,0.4045717,0.0781,0.2684911,0.1351551,0.0528,0.1762064,0.1714714,0.0305,0.377312,0.1997886,0.339,0.08344658,0.1687634,0.0263,0.09819134,0.07283059,0.0241,0.1246898,0.1267602,0.052,0.250039,0.2389932,0.208,0.2154827,0.2852908,0.0732,0.1244819,0.1287854,0.0594
2.6,0.02726811,0.04376207,0.0587,0.1693776,0.07710564,0.0401,0.1279858,0.2481077,0.0523,0.2038718,0.1718605,0.0698,0.209718,0.1173793,0.0329,0.1615077,0.3266746,0.0679,0.2928194,0.4640442,0.107,0.3669288,0.4709486,0.154,0.2319096,0.4187008,0.0688,0.2615237,0.1231422,0.0507,0.179119,0.1778418,0.0288,0.3705777,0.1997226,0.318,0.07395252,0.1535485,0.0242,0.08866702,0.06251537,0.0214,0.1152744,0.1136924,0.0474,0.2426875,0.2286192,0.199,0.2125278,0.3070744,0.0755,0.1270695,0.1113039,0.0556
2.8,0.02635467,0.03558378,0.044,0.1666918,0.09654205,0.034,0.1140845,0.2410798,0.046,0.1963046,0.166554,0.064,0.1881128,0.1195195,0.0418,0.127114,0.3420773,0.0969,0.2730483,0.452831,0.0956,0.3303827,0.4987445,0.14,0.2104412,0.4284905,0.0622,0.2383521,0.1017622,0.047,0.1805634,0.1917976,0.0283,0.3554084,0.1954063,0.324,0.06011699,0.1255792,0.0198,0.07015366,0.04331571,0.0169,0.0978995,0.09207577,0.0354,0.2394393,0.2134267,0.175,0.18795,0.399176,0.0727,0.1105806,0.116056,0.0553
3.0,0.0275219,0.0292248,0.0334,0.1588539,0.09267463,0.0302,0.1022566,0.2374115,0.0629,0.1826666,0.1498625,0.0671,0.1708935,0.122495,0.0451,0.09618575,0.3443195,0.0844,0.2311149,0.4333179,0.0851,0.2923727,0.5096489,0.13,0.1848856,0.4229871,0.0627,0.2189285,0.08697712,0.0449,0.1768825,0.1980408,0.0323,0.3339841,0.186491,0.289,0.05096097,0.1017291,0.0158,0.06174026,0.03510078,0.0135,0.08248707,0.07520364,0.0262,0.2379685,0.2009524,0.176,0.1895856,0.4527104,0.0882,0.1301587,0.1294698,0.0626
3.2,0.02844905,0.0283014,0.0263,0.149165,0.05879641,0.0267,0.09170189,0.2339366,0.0626,0.1763006,0.1319269,0.0811,0.1552084,0.12242,0.0372,0.069647,0.3380652,0.0762,0.1917201,0.4086774,0.0759,0.2538654,0.5059816,0.117,0.1610237,0.4087983,0.0635,0.2001509,0.07810109,0.0518,0.1747133,0.1941092,0.0334,0.305932,0.1735683,0.259,0.04874099,0.09663703,0.0113,0.05138586,0.03159017,0.011,0.06911312,0.06194329,0.0201,0.2326321,0.1922789,0.167,0.2000214,0.4356893,0.111,0.1555955,0.1567505,0.0736
3.4,0.02715986,0.02356778,0.0205,0.1372584,0.05668418,0.0233,0.08517411,0.2171871,0.0461,0.1692218,0.1173356,0.0848,0.1409746,0.1201094,0.0357,0.06677058,0.3269784,0.0688,0.1500507,0.3872862,0.0685,0.2321454,0.4882947,0.116,0.1397215,0.3851404,0.0629,0.191439,0.06912894,0.0576,0.1717567,0.1854822,0.0431,0.273372,0.1591887,0.23,0.04766122,0.1051252,0.011,0.0452771,0.02862862,0.00927,0.05773156,0.051486,0.018,0.2446303,0.1859155,0.138,0.1979937,0.3520182,0.119,0.1575074,0.159036,0.0868
3.5,0.02517764,0.02188639,0.0181,0.1314243,0.05555129,0.0218,0.08229403,0.2093092,0.0392,0.1648264,0.1106093,0.0818,0.134734,0.1188012,0.0378,0.06830392,0.3206804,0.0681,0.1396934,0.3769492,0.0652,0.2208656,0.4741084,0.115,0.1304924,0.3709323,0.0619,0.1867066,0.06293073,0.06,0.1698153,0.1798657,0.0496,0.2564097,0.1521347,0.219,0.04721383,0.1035415,0.0108,0.04335506,0.02725253,0.00858,0.05274062,0.04710475,0.0167,0.2455161,0.1823832,0.122,0.1986504,0.3091184,0.112,0.167947,0.1507262,0.0911
3.6,0.02295143,0.02148858,0.0162,0.1257583,0.05466609,0.0203,0.0784217,0.2026608,0.0376,0.1604922,0.1044986,0.0751,0.1280019,0.1173604,0.041,0.06814036,0.3141612,0.0749,0.1310095,0.3663584,0.0622,0.2095795,0.4579208,0.112,0.1222467,0.3552606,0.0605,0.1819068,0.05693509,0.0622,0.1679615,0.1736398,0.0539,0.2395042,0.1452176,0.206,0.04672202,0.09942926,0.0105,0.04150294,0.02594816,0.00799,0.04818736,0.04320068,0.0154,0.2432146,0.1786486,0.111,0.1938712,0.2698964,0.104,0.1656744,0.1596915,0.0931
3.8,0.01993941,0.01817468,0.0137,0.1160274,0.05344838,0.0201,0.0778264,0.179931,0.0387,0.1535693,0.09240045,0.0608,0.1138451,0.1139274,0.0518,0.06362908,0.3010364,0.0921,0.120283,0.3445073,0.0565,0.1875603,0.422314,0.105,0.1091604,0.3207022,0.0575,0.1723887,0.05817266,0.0681,0.1631738,0.1591836,0.0543,0.207548,0.1610286,0.178,0.04548743,0.09498025,0.00961,0.03802651,0.02354185,0.00705,0.04028868,0.03660659,0.0128,0.2311946,0.170967,0.0854,0.1769021,0.2004295,0.0903,0.1252989,0.169483,0.0914
4.0,0.01854812,0.01645139,0.0115,0.1062083,0.05526224,0.0217,0.07385232,0.1726705,0.0397,0.1424374,0.07942714,0.0519,0.0996751,0.1103122,0.0656,0.05699233,0.2875045,0.0934,0.1104746,0.3206479,0.0553,0.1668826,0.382573,0.106,0.1005404,0.2841501,0.0543,0.1634933,0.05972822,0.0723,0.1564851,0.1459799,0.05,0.1838709,0.1637308,0.15,0.04379511,0.0915608,0.0113,0.0348443,0.0213853,0.00632,0.03902099,0.03311262,0.0104,0.2138125,0.1681396,0.0641,0.1640102,0.1486531,0.0696,0.09803901,0.1646272,0.0858
4.2,0.01567992,0.01533874,0.00969,0.09938871,0.06126241,0.0222,0.06839801,0.1647648,0.0401,0.1334206,0.07786735,0.0484,0.08614358,0.1064499,0.0723,0.04988583,0.2731054,0.082,0.1041544,0.2947564,0.058,0.1479727,0.3434851,0.102,0.09536716,0.2587727,0.0523,0.1548305,0.05830866,0.0732,0.1488435,0.1356579,0.0463,0.1783565,0.1493949,0.126,0.04167237,0.08647733,0.0124,0.03195581,0.01946328,0.00574,0.03367137,0.03021108,0.00836,0.1980677,0.1665967,0.0556,0.1474262,0.1257634,0.0562,0.08404174,0.1515518,0.0774
4.4,0.01355881,0.01359264,0.00815,0.1011126,0.06086232,0.0218,0.06386374,0.1555377,0.0438,0.1247106,0.06320499,0.0447,0.07357187,0.1017208,0.0661,0.0445187,0.2570094,0.0713,0.09909623,0.2692086,0.0585,0.1314154,0.3066402,0.0962,0.09220658,0.2371816,0.0517,0.1460599,0.05816052,0.0723,0.14157,0.1249141,0.0453,0.1653057,0.1263109,0.105,0.03923459,0.0800522,0.0136,0.02933343,0.01774773,0.00527,0.02957182,0.0276265,0.00674,0.1810796,0.1624262,0.047,0.1250924,0.1121097,0.0452,0.07698999,0.1578637,0.0694
4.6,0.01212347,0.01191766,0.00686,0.1023103,0.06103547,0.0213,0.0635261,0.1456544,0.0426,0.1176723,0.05371833,0.0412,0.06217414,0.09679148,0.0543,0.04064463,0.2389985,0.064,0.09360968,0.2447978,0.0617,0.1168433,0.2718111,0.0881,0.08982188,0.215793,0.0524,0.1372431,0.0644775,0.0699,0.133253,0.1144189,0.0439,0.1484055,0.1162013,0.0888,0.03701118,0.07287236,0.014,0.02696755,0.01621869,0.00487,0.02784362,0.0253177,0.00564,0.1635355,0.1559846,0.04,0.1116947,0.0982244,0.0381,0.07832071,0.1556522,0.0618
4.8,0.01061132,0.01069793,0.00615,0.09823857,0.05714994,0.023,0.06181826,0.1351332,0.0412,0.1091898,0.05066755,0.0392,0.05212709,0.09269059,0.0444,0.03699633,0.2221232,0.059,0.0880198,0.22116,0.0619,0.1037839,0.2483431,0.078,0.08741727,0.1951909,0.0514,0.1286647,0.06749133,0.0657,0.1247758,0.1040013,0.0403,0.1333047,0.109698,0.0754,0.03538669,0.06546381,0.0136,0.02483006,0.0148577,0.00452,0.02420729,0.02325379,0.00511,0.1464549,0.1495269,0.0368,0.09462681,0.08477266,0.0312,0.0797585,0.1560709,0.0563
5.0,0.00913519,0.00957029,0.00557,0.08982147,0.04908199,0.0235,0.05934894,0.1241611,0.0376,0.1014356,0.04747759,0.0374,0.04590491,0.08857258,0.0376,0.03518913,0.2055614,0.056,0.08327811,0.1991812,0.0607,0.09204964,0.2288984,0.0672,0.08454631,0.1758655,0.0487,0.1235785,0.06601091,0.0605,0.1171136,0.09407886,0.0379,0.1205517,0.1004216,0.0646,0.03354693,0.05820171,0.0136,0.02290116,0.01364259,0.00421,0.01990966,0.02140526,0.00463,0.1299077,0.1430443,0.0336,0.07981225,0.07215553,0.0255,0.08739192,0.1663578,0.051
5.5,0.00628058,0.00767574,0.00439,0.06739044,0.03891719,0.0204,0.05011196,0.09678381,0.0323,0.09659268,0.04221682,0.0316,0.03652334,0.07722765,0.0291,0.03494427,0.1669837,0.0465,0.0724232,0.159985,0.0494,0.06784713,0.1875479,0.0508,0.07571697,0.1351421,0.039,0.1134578,0.05567159,0.0491,0.096764,0.07392184,0.027,0.1054219,0.08232026,0.0517,0.02855937,0.04190793,0.0119,0.01886779,0.01113629,0.00356,0.01505717,0.01757118,0.00367,0.0931958,0.1232743,0.0263,0.05951206,0.06693044,0.0202,0.1093033,0.221512,0.0367
6.0,0.00555545,0.00601589,0.00351,0.04611344,0.0327336,0.0145,0.05547945,0.08279104,0.0274,0.09690069,0.0390345,0.0265,0.02920589,0.06469576,0.0218,0.03514279,0.1334385,0.0385,0.08045793,0.1345245,0.0408,0.05274744,0.152716,0.0386,0.06565113,0.1043381,0.029,0.1008575,0.05305142,0.0384,0.07918754,0.05934229,0.0208,0.08699708,0.06405509,0.0435,0.02659825,0.03657143,0.0103,0.01573208,0.00922385,0.00304,0.01261467,0.01461853,0.00295,0.07454385,0.1037011,0.0209,0.04257615,0.05918895,0.015,0.1201377,0.2694703,0.0263
6.5,0.00475418,0.00446268,0.00284,0.03824916,0.02719296,0.0098,0.05546151,0.07039815,0.0221,0.09028587,0.03513172,0.0202,0.02380093,0.05439446,0.0178,0.03407139,0.1104628,0.031,0.08904128,0.1125566,0.0341,0.04599031,0.1237919,0.0298,0.05559637,0.08160032,0.0225,0.08632722,0.04377513,0.0289,0.06488232,0.06371132,0.017,0.06855702,0.04767115,0.0371,0.02186859,0.03054718,0.00926,0.01327404,0.00774357,0.00261,0.01065386,0.01231394,0.0024,0.05929954,0.08553029,0.0164,0.03155448,0.05534156,0.0117,0.1180801,0.2698033,0.0188
7.0,0.00400803,0.00386009,0.00257,0.03259615,0.0241657,0.0073,0.04711489,0.06213351,0.0187,0.07480127,0.03272144,0.0176,0.02918286,0.04551819,0.0158,0.03979034,0.0940066,0.0242,0.08756045,0.09413113,0.0278,0.04015915,0.1002133,0.0229,0.0488747,0.06394331,0.0173,0.07378685,0.03743261,0.0238,0.05395528,0.06070232,0.0129,0.05273792,0.03823541,0.032,0.01823259,0.02474718,0.00786,0.01132394,0.00658093,0.00226,0.00907645,0.01049334,0.00199,0.04798132,0.07028614,0.0138,0.02811372,0.05191047,0.0109,0.1130931,0.2433782,0.0155
7.5,0.00357623,0.00337885,0.00239,0.02766187,0.02125728,0.00577,0.03830161,0.05699626,0.0158,0.05805915,0.03094186,0.0146,0.03431392,0.03740275,0.0121,0.04007885,0.07997682,0.0192,0.08060935,0.07886082,0.0226,0.03513846,0.08121153,0.0189,0.04345448,0.05265208,0.0133,0.06266576,0.03015101,0.0195,0.04723008,0.05448371,0.00935,0.04128069,0.03110283,0.0277,0.01622792,0.01971536,0.00667,0.00975897,0.00565502,0.00197,0.00780009,0.00903598,0.00174,0.04126576,0.05728765,0.0119,0.02394086,0.04597668,0.00913,0.1033804,0.213496,0.0127
8.0,0.00318887,0.00298635,0.00219,0.02341081,0.01851892,0.00488,0.0295145,0.04956055,0.0132,0.05025629,0.02914373,0.0118,0.03404409,0.03110814,0.00998,0.03982275,0.06831718,0.0159,0.07013985,0.06631274,0.0183,0.03082481,0.06599923,0.016,0.03914734,0.04558945,0.0104,0.05457602,0.02356183,0.0159,0.04127708,0.04719226,0.00793,0.03401859,0.02248279,0.0241,0.01477681,0.01809503,0.00563,0.00848907,0.00490784,0.00173,0.0067603,0.00785481,0.00162,0.03567944,0.04833,0.00979,0.0197129,0.03894391,0.00728,0.08774605,0.1740367,0.01
8.5,0.00273289,0.0026608,0.002,0.01982277,0.01581537,0.00429,0.02160258,0.04165597,0.0109,0.04175174,0.02680928,0.00924,0.0298578,0.02777698,0.00846,0.03620505,0.05853084,0.0126,0.05905024,0.05603622,0.0154,0.02712376,0.05387324,0.0137,0.03436978,0.03978018,0.00818,0.04711691,0.0190497,0.0129,0.03609268,0.04106804,0.00701,0.02834025,0.01949358,0.021,0.013558,0.0164867,0.00461,0.00744699,0.00429742,0.00153,0.0059054,0.00688651,0.00151,0.03103743,0.0409054,0.00799,0.01585851,0.03193633,0.00619,0.07119091,0.1476529,0.0081
9.0,0.00228404,0.00238706,0.00183,0.0195956,0.01565089,0.00381,0.01768775,0.03809013,0.00895,0.03362957,0.02508031,0.00718,0.02613426,0.02608405,0.00709,0.0324473,0.05033074,0.0111,0.05114606,0.04761063,0.0137,0.0239496,0.04574012,0.012,0.02926787,0.03493899,0.00698,0.03994666,0.01628812,0.0109,0.03162318,0.03474259,0.00584,0.0238755,0.01754291,0.0183,0.01224946,0.01496538,0.00381,0.00658263,0.00379303,0.00135,0.00519706,0.00608421,0.0014,0.02717087,0.03455884,0.00728,0.01397334,0.025613,0.00529,0.06468414,0.1190927,0.00754
9.5,0.00188047,0.00215425,0.00166,0.01885405,0.01491276,0.00336,0.01429912,0.03412839,0.00738,0.02636181,0.02276827,0.00612,0.02093462,0.02251634,0.00547,0.02956454,0.04343905,0.0097,0.04662377,0.04069025,0.0123,0.02122751,0.04089035,0.0105,0.02599586,0.03088813,0.00606,0.03373872,0.01365875,0.00969,0.02781029,0.02978569,0.005,0.02033692,0.01582374,0.0161,0.01094274,0.01356481,0.00353,0.00585872,0.00337191,0.00121,0.00460507,0.00541286,0.00129,0.02393641,0.02982856,0.00655,0.01272094,0.02025527,0.00453,0.05900387,0.09471303,0.00722
10.0,0.00170162,0.00195435,0.00151,0.01760357,0.01160744,0.00293,0.01146489,0.0303067,0.00641,0.02206384,0.02027983,0.00531,0.0171228,0.02053658,0.00506,0.02645968,0.03764757,0.00839,0.04165755,0.03498952,0.011,0.01893863,0.03671025,0.00928,0.02321606,0.02748036,0.00533,0.02899888,0.01178534,0.00862,0.02460939,0.02613813,0.00432,0.01750711,0.01431076,0.0142,0.01002168,0.01229738,0.00324,0.00524699,0.00301692,0.00108,0.00410622,0.00484595,0.00119,0.02121464,0.02656071,0.00584,0.01147324,0.01691215,0.00391,0.05327317,0.08112437,0.00633
