
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-03-20


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.7
Magnitude Max:, 7.5
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, 0.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 0.0
Vs30 Max (m/sec):, 225.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 2
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, SS+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
0.075,0.75307232,1.12349741,0.50477903,0.40604935,0.46991764,0.44284389,0.6150538,0.58823938,0.65926998,1.30671627,1.06182657,0.62579921,0.81132064,0.433847,0.46365056,0.60656966,1.10801357,1.33432238,1.15204619,0.85639764,0.61341811
0.08,0.76585876,1.13466564,0.5169273,0.42681563,0.42704043,0.41782325,0.54904105,0.65538428,0.78653548,1.20166898,1.20110693,0.64971257,0.87173141,0.44530202,0.47077896,0.57517364,1.13961725,1.24077024,1.21400489,0.86691743,0.64603329
0.085,0.79489843,1.17033141,0.53990135,0.44646374,0.41688822,0.48349216,0.52802113,0.70804692,0.92776462,1.11960257,1.26169428,0.65344186,0.86471406,0.53861317,0.49445739,0.56748647,1.11340664,1.25663312,1.38790972,0.87161759,0.66791808
0.09,0.834097,1.25757573,0.5532214,0.41661852,0.46416739,0.49405482,0.51603563,0.77584165,0.95251243,1.15366947,1.33468585,0.6172049,0.90452999,0.59393091,0.50704706,0.60628035,1.07756247,1.49353864,1.49805436,0.86640379,0.74160773
0.095,0.87578605,1.33254133,0.57559281,0.44102747,0.42864521,0.51658384,0.50579188,0.93587815,0.89744681,1.25528171,1.43746403,0.64978004,1.01889274,0.60763261,0.53904461,0.58848177,1.09242216,1.59671779,1.50978282,0.92472881,0.81854645
0.1,0.91570961,1.40921475,0.59502932,0.4609282,0.45732555,0.57082825,0.50167455,1.02215467,0.99278996,1.33352188,1.46424496,0.69316984,1.05085039,0.61857781,0.52497793,0.57400069,1.1299069,1.65424827,1.67569568,0.94127124,0.81660625
0.11,0.94999456,1.44564855,0.62428014,0.47450152,0.47495535,0.58380708,0.59929654,0.98307028,1.09179703,1.35930678,1.36484698,0.69650924,1.39645472,0.6614686,0.55877529,0.64167896,1.12711221,1.70701509,1.69931185,0.9066687,0.77332594
0.12,0.93661036,1.44745985,0.6060541,0.44396689,0.47553298,0.50792845,0.58608643,0.84233696,0.78187037,1.2962375,1.18933588,0.77799181,1.68994193,0.72748558,0.49123663,0.73692903,1.12997889,1.70902065,1.63514077,0.97750843,0.86045734
0.13,0.95160269,1.43961857,0.62901917,0.52777231,0.57553511,0.54454155,0.6264032,0.96812564,0.86549222,1.31893646,0.96354092,0.73125251,1.84092795,0.77571944,0.5181522,0.65692304,1.04733428,1.3471699,1.81060699,0.9611311,1.04928359
0.133,0.9489035,1.4199086,0.63413789,0.52990522,0.58582274,0.55232056,0.6423214,1.02058626,0.9201082,1.3469742,0.91636702,0.68053859,1.81601918,0.79026187,0.53337151,0.67446912,1.00867781,1.2420442,1.79047559,0.96454442,1.06545503
